"","Year","Stage","elapsed","Date","Origin","Distance","Destination","Type","Average_speed"
"1",1980,0,553,1980-06-26,"Frankfurt",8,"Frankfurt","0",52.0795660036166
"12",1980,1.1,11979,1980-06-27,"Frankfurt",133,"Wiesbaden","1",39.9699474079639
"14",1980,2,27378,1980-06-28,"Frankfurt",276,"Metz","1",36.2919132149901
"18",1980,3,28717,1980-06-29,"Metz",282,"Liège","1",35.3518821603928
"19",1980,4,2848,1980-06-30,"Spa",35,"Spa","0",44.2415730337079
"20",1980,5,29002,1980-07-01,"Liège",249,"Lille","1",30.908213226674
"21",1980,6,21431,1980-07-02,"Lille",216,"Compiègne","1",36.2838878260464
"24",1980,8,15664,1980-07-04,"Flers",164,"Saint-Malo","1",37.6915219611849
"25",1980,9,19707,1980-07-06,"Saint-Malo",205,"Nantes","1",37.4486223169432
"2",1980,10,16978,1980-07-07,"Rochefort",163,"Bordeaux","1",34.5623748380257
"3",1980,11,4224,1980-07-08,"Damazan",52,"Laplume","0",44.3181818181818
"4",1980,12,20724,1980-07-09,"Agen",194,"Pau","1",33.7000579038796
"5",1980,13,23252,1980-07-10,"Pau",200,"Bagnères-de-Luchon","3",30.9650782728367
"6",1980,14,20089,1980-07-11,"Lézignan-Corbières",189,"Montpellier","1",33.8692816964508
"7",1980,15,14263,1980-07-12,"Montpellier",160,"Martigues","1",40.3842108953236
"8",1980,16,23131,1980-07-13,"Trets",209,"Pra-Loup","3",32.5277765768882
"9",1980,17,25747,1980-07-14,"Serre Chevalier",242,"Morzine","3",33.8369518778887
"10",1980,18,21166,1980-07-16,"Morzine",199,"Prapoutel","3",33.8467353302466
"11",1980,19,14433,1980-07-17,"Voreppe",140,"Saint-Étienne","2",34.9199750571607
"15",1980,20,2738,1980-07-18,"Saint-Étienne",34,"Saint-Étienne","0",44.7041636230825
"16",1980,21,20913,1980-07-19,"Auxerre",208,"Fontenay-sous-Bois","1",35.8054798450724
"17",1980,22,18747,1980-07-20,"Fontenay-sous-Bois",186,"Paris","1",35.7177148343735
"26",1981,0,408,1981-06-25,"Nice",6,"Nice","0",52.9411764705882
"38",1981,1.1,8599,1981-06-26,"Nice",97,"Nice","2",40.6093731829282
"40",1981,2,23547,1981-06-27,"Nice",254,"Martigues","1",38.832972353166
"44",1981,3,23630,1981-06-28,"Martigues",232,"Narbonne","1",35.3449005501481
"46",1981,5,12752,1981-06-30,"Saint-Gaudens",117,"Pla d'Adet","3",33.030112923463
"47",1981,6,2152,1981-07-01,"Nay",27,"Pau","0",45.1672862453532
"48",1981,7,20244,1981-07-02,"Pau",227,"Bordeaux","1",40.3675163011263
"49",1981,8,16537,1981-07-03,"Rochefort",182,"Nantes","1",39.6202455100683
"50",1981,9,15789,1981-07-05,"Nantes",197,"Le Mans","1",44.9173475204256
"27",1981,10,23441,1981-07-06,"Le Mans",264,"Aulnay-sous-Bois","1",40.5443453777569
