,Year,Distance,Type,Stage,Temperature,Precipitation,Humidity,Wind Speed,Relative Wind Speed,Average_speed
0,1980,8.0,0,0.0,12.7,1.36,84.27,12.7,1.9402777777777778,52.0795660036166
1,1980,133.0,1,1.1,17.5,2.0,94.35,18.3,7.152880559443218,39.9699474079639
2,1980,163.0,1,10.0,17.2,16.0,85.38,25.9,16.000983788310037,34.5623748380257
3,1980,52.0,0,11.0,13.4,4.91,87.26,26.2,6.9755239723274265,44.3181818181818
4,1980,194.0,1,12.0,10.5,4.26,82.53,33.1,26.520447193178562,33.700057903879596
5,1980,200.0,3,13.0,20.4,0.0,51.8,38.6,26.233808178101487,30.9650782728367
6,1980,189.0,1,14.0,20.7,0.0,46.49,50.8,41.62319118460728,33.8692816964508
7,1980,160.0,1,15.0,15.9,0.0,60.93,17.3,12.789526574128999,40.3842108953236
8,1980,209.0,3,16.0,17.6,1.0,69.18,36.7,29.19411477366686,32.5277765768882
9,1980,242.0,3,17.0,17.6,2.0,72.57,25.0,9.430837402083338,33.8369518778887
10,1980,199.0,3,18.0,14.0,0.0,67.83,22.0,4.519260972850011,33.8467353302466
11,1980,140.0,2,19.0,11.3,3.5,80.84,15.8,1.8296676213464615,34.9199750571607
12,1980,276.0,1,2.0,10.2,9.94,90.52,29.6,2.061026270994648,36.2919132149901
13,1980,34.0,0,20.0,16.3,0.0,67.13,9.9,0.275,44.70416362308251
14,1980,208.0,1,21.0,17.2,0.85,90.62,30.9,16.417130286775194,35.8054798450724
15,1980,186.0,1,22.0,15.3,8.92,89.98,55.7,12.093676484344014,35.717714834373496
16,1980,282.0,1,3.0,11.2,2.78,87.61,23.0,6.853947842207555,35.3518821603928
17,1980,35.0,0,4.0,11.8,1.0,76.65,25.9,9.611777777777778,44.241573033707894
18,1980,249.0,1,5.0,11.7,9.86,94.17,38.3,0.5416268882423844,30.908213226674
19,1980,216.0,1,6.0,14.4,1.02,84.07,25.0,14.808138402334507,36.2838878260464
20,1980,164.0,1,8.0,15.5,0.0,84.09,24.1,1.481260703924254,37.6915219611849
21,1980,205.0,1,9.0,15.3,1.0,93.45,36.8,12.084931073563755,37.4486223169432
22,1981,6.0,0,0.0,18.9,0.0,81.31,18.2,3.912999999999999,52.94117647058821
23,1981,97.0,2,1.1,19.2,0.0,69.92,15.6,14.38426811019029,40.6093731829282
24,1981,264.0,1,10.0,18.6,0.0,75.84,10.7,10.578527719426827,40.5443453777569
25,1981,246.0,1,11.0,22.3,0.0,71.46,19.6,1.5664217686953332,38.989169675090295
26,1981,107.0,1,12.1,22.2,0.0,75.69,14.8,1.9077173241404244,44.032921810699605
27,1981,157.0,1,13.0,21.9,0.0,71.15,16.2,1.4489999999999994,39.03314917127071
28,1981,38.0,0,14.0,17.6,2.74,81.6,21.4,6.809243926500706,45.148514851485096
29,1981,231.0,2,15.0,19.5,0.0,70.85,13.0,1.4345651244542121,39.928938397272795
30,1981,200.0,3,16.0,19.3,0.0,67.84,21.0,1.5780077141788893,32.04414971738839
31,1981,230.0,3,17.0,20.1,0.0,68.06,21.6,9.15274074059255,30.2432610124918
32,1981,134.0,3,18.0,21.4,0.0,69.84,10.8,7.989575282838688,31.318574303707102
33,1981,118.0,1,19.0,19.3,0.0,76.12,25.9,8.777222222222223,37.854214934949205
34,1981,254.0,1,2.0,21.1,0.0,62.04,34.1,28.71379957195879,38.832972353166
35,1981,46.0,0,20.0,20.1,0.0,76.47,15.0,4.958333333333333,45.048966267682296
36,1981,207.0,1,21.0,13.9,3.19,80.07,24.2,9.73838538996257,37.3421527360192
37,1981,187.0,1,22.0,14.9,0.0,73.22,26.6,2.9582304999961004,39.3132445690259
38,1981,232.0,1,3.0,15.3,19.19,82.38,34.9,2.0519830547808886,35.344900550148104
39,1981,117.0,3,5.0,11.3,0.0,69.39,56.2,24.653022249508584,33.030112923463
40,1981,27.0,0,6.0,19.2,0.0,66.4,10.8,5.554981999423724,45.1672862453532
41,1981,227.0,1,7.0,16.7,5.89,88.17,25.5,23.338647700387856,40.3675163011263
42,1981,182.0,1,8.0,15.9,1.5,76.23,34.8,15.757214960421114,39.620245510068294
43,1981,197.0,1,9.0,18.7,0.0,74.38,23.6,23.556769788956647,44.91734752042561
44,1982,7.0,0,0.0,21.7,0.0,69.28,17.7,2.9795000000000007,44.13309982486871
45,1982,207.0,2,1.0,21.6,0.0,63.72,28.0,20.656612596348968,38.7660614888415
46,1982,147.0,1,10.0,20.5,8.71,73.54,22.0,8.529234611198419,44.8056896113792
47,1982,57.0,0,11.0,22.3,0.0,73.26,17.2,10.186222222222224,44.138524413852394
48,1982,249.0,3,12.0,19.7,0.0,73.53,8.3,0.242916878788022,35.932176213572795
49,1982,122.0,3,13.0,18.0,0.0,77.56,59.5,30.92241461266728,33.204808346563894
50,1982,33.0,0,14.0,28.5,0.0,47.05,31.1,14.029555555555556,43.805309734513294
51,1982,208.0,3,15.0,20.0,0.0,63.62,14.9,13.840943093698838,31.620286305477
52,1982,123.0,3,16.0,23.1,0.0,62.94,18.4,14.197649936348885,36.111564182025795
53,1982,251.0,3,17.0,22.1,6.02,67.47,13.8,10.56949889374811,33.1474688187821
54,1982,233.0,1,18.0,20.4,16.03,77.6,23.3,3.049360763798651,35.586101565483
55,1982,48.0,0,19.0,20.7,0.0,73.1,18.7,2.5868333333333338,44.6627035409667
56,1982,250.0,1,2.0,17.4,37.37,70.92,18.4,5.225427604547032,38.3092836163964
57,1982,161.0,1,20.0,17.8,0.0,73.74,17.5,6.0090461013062955,36.8210405946255
58,1982,187.0,1,21.0,17.4,0.0,72.0,16.5,3.7233259367143696,37.2262773722628
59,1982,134.0,1,3.0,14.5,0.0,69.03,16.3,6.5140833002615715,40.58214856566
60,1982,219.0,1,4.0,15.6,0.0,84.22,21.3,6.039663217213891,37.9476318829419
61,1982,233.0,1,6.0,19.8,0.0,82.66,10.8,1.2419999999999993,39.302783244307
62,1982,235.0,1,7.0,18.7,0.3,83.84,20.0,4.818495156262417,38.398692810457504
63,1982,201.0,1,8.0,18.2,4.0,88.86,20.3,15.830192289694615,39.7364085667216
64,1983,6.0,0,0.0,15.5,0.78,77.25,13.2,6.2040000000000015,51.3064133016627
65,1983,163.0,1,1.0,17.7,0.0,70.91,10.0,0.7237347767547533,42.589635651037895
66,1983,201.0,3,10.0,21.7,0.0,72.95,37.1,10.392112849286079,31.451297431216602
67,1983,177.0,1,11.0,25.6,0.0,77.61,20.2,10.85989252901719,39.7603893672782
68,1983,261.0,1,12.0,20.9,0.0,63.77,46.4,40.565894795723786,35.7683962084586
69,1983,210.0,2,13.0,23.1,0.0,52.27,14.8,9.218038060235092,34.9902804776451
70,1983,149.0,2,14.0,21.8,0.0,53.59,10.8,10.512006657195426,40.7722712070538
71,1983,16.0,0,15.0,24.2,0.0,56.44,18.1,4.746222222222221,23.577568563241897
72,1983,144.0,2,16.0,26.3,0.0,50.08,36.3,15.094320853360777,37.625199593554896
73,1983,223.0,3,17.0,24.8,0.0,49.44,22.4,10.23520545156067,30.303487845387302
74,1983,247.0,3,18.0,25.7,0.0,51.13,13.0,11.704552097975272,31.8424350940018
75,1983,15.0,0,19.0,23.5,0.0,67.69,20.2,7.540864109678739,25.604551920341397
76,1983,291.0,1,20.0,26.0,0.0,46.06,18.4,8.653956634843713,39.419024683925294
77,1983,50.0,0,21.0,25.7,0.0,57.1,42.4,28.784888888888887,41.8896904817314
78,1983,195.0,1,22.0,20.9,0.8,68.76,16.6,7.988951143100589,35.3545527800161
79,1983,152.0,2,3.0,19.2,0.0,70.03,17.1,8.660747659514776,40.3361344537815
80,1983,300.0,1,4.0,19.2,6.0,84.2,25.7,12.545550391174231,37.642466278624
81,1983,257.0,1,5.0,19.9,0.36,84.07,16.4,0.31015293040423136,35.8701973403637
82,1983,58.0,0,6.0,20.5,0.0,85.99,14.9,1.5181919988615644,44.293593551124296
83,1983,216.0,1,7.0,22.3,0.0,78.64,17.2,3.4465663378624805,37.498191638134706
84,1983,222.0,1,8.0,27.2,0.0,64.42,14.3,2.233999754105159,35.425531914893604
85,1983,207.0,1,9.0,25.2,0.0,77.1,10.8,4.566024657826717,35.8234785116816
86,1984,5.0,0,0.0,14.9,0.0,54.11,14.6,13.378968565441308,45.1127819548872
87,1984,149.0,1,1.0,20.4,3.69,75.69,35.3,1.0332832913875507,43.12590448625179
88,1984,198.0,1,10.0,22.1,0.0,77.28,15.1,1.4900870219597682,40.8200664299622
89,1984,227.0,3,11.0,24.2,0.0,60.0,11.2,3.79185242337716,32.146650407143696
90,1984,111.0,1,12.0,24.0,0.0,69.86,40.7,30.341132823560663,41.6857917796787
91,1984,220.0,1,13.0,22.8,0.0,55.29,42.6,30.0361345469394,36.3252763381186
92,1984,228.0,2,14.0,25.4,0.0,71.7,18.4,11.510942177497716,37.9209979209979
93,1984,241.0,2,15.0,21.3,0.0,65.98,23.7,20.538952864848028,33.9675828047921
94,1984,22.0,0,16.0,18.4,0.0,76.76,15.9,4.291780288159678,31.291979454760998
95,1984,151.0,3,17.0,17.3,3.0,59.42,33.5,8.005950890369625,32.4266284896206
96,1984,185.0,3,18.0,16.3,0.0,70.16,15.0,5.096612768398605,29.7786720321932
97,1984,186.0,3,19.0,16.2,0.0,59.07,16.8,4.088201062602358,29.647996457826
98,1984,249.0,1,2.0,11.9,0.0,68.08,12.8,7.553258210851972,35.527723831794205
99,1984,141.0,3,20.0,16.3,0.0,60.43,18.4,18.19448881357673,33.939556031024296
100,1984,320.0,2,21.0,19.4,0.0,69.08,14.8,0.1521522179267931,33.794883830086796
101,1984,51.0,0,22.0,21.1,0.0,67.2,18.4,9.24075878426349,45.4567962366923
